ID,Target_Death_Rate,RateOfIncidence,Income,Poverty%,Age,Ages_men,Ages_women,Location,SizeOfHousehold,Married%,Edu_less_HS,Edu_HSD,Edu_Clg,Edu_Bachdegree,Edu_HSD25,Edu_Bachdegree25,16+_Employed,16+_Unemployed,Prv_Public_HealthCov,Prv_HealthCov,Employ_PrvCov,Gov_HealthCov,Gov_HealthCov_Alone,White_Residents,Black_Residents,Married,Rate_Of_Birth
259,157,463.9,62861,14.3,33.4,32.3,34.6,"Washtenaw County, Michigan",2.43,44.3,5.6,15.4,60.4,18.5,-,25.4,60.4,7.4,82.2,68.7,60.9,23.4,10.2,74.0632378,12.07313354,44.8630013,4.120270702
260,197.9,528.7,41434,24.1,37.8,36.1,39.2,"Wayne County, Michigan",2.63,38.1,18.8,30.7,,7.1,30.3,13.4,49.9,14.9,58.4,44.6,41,42,26,53.34252592,39.41434617,37.15664456,5.676241281
261,164.1,453.5494221,40676,14.9,53.1,52.7,53.4,"Aitkin County, Minnesota",2.05,61.2,19.4,42.4,,8,39.9,10.8,47.8,,66.3,40.5,32.5,51.5,22.3,95.07544668,0.366184734,53.34472335,7.867412141
262,167.9,453.5494221,70868,7.6,37.9,37.2,38.7,"Anoka County, Minnesota",2.7,54.4,15.9,32.3,,9.6,28.4,20,68.4,6.2,79.3,,60.6,25.7,12.9,85.6646515,4.901347251,56.43371868,6.191392604
263,162.6,453.5494221,43706,18.5,33.3,31.8,34.7,"Beltrami County, Minnesota",2.59,44.2,12.8,24.7,,6.9,26.1,17.4,58.5,10.6,58.6,45.4,39.6,40.5,26.1,74.08988863,0.818770084,44.60242547,6.561704535
264,182.1,532.7,51576,16.6,39.4,38.2,40.5,"Clinton County, New York",2.32,46.3,12,30.9,,9.2,35.3,11.9,51.9,6.9,72.6,54.2,49.2,37.4,18.2,91.46599743,4.290873477,46.37281334,4.275633043
265,171.5,472.2,55047,11.6,46.6,45.8,47.9,"Columbia County, New York",2.37,49.3,16.9,30.3,,11.6,30.7,14.4,57.7,6.7,73.1,55.1,48.9,36.9,17.5,89.89629391,4.39424391,48.37725381,3.458303859
266,181.4,522,48357,13.8,36.1,35.7,36.4,"Cortland County, New York",2.54,42.2,3.5,18.1,71.1,7.2,34.7,13.4,59.6,6.1,75.3,59.5,54.3,31.6,15.4,94.28868544,1.765797362,45.19096738,3.084671073
267,160.7,461,45860,14.4,45.2,45.7,47,"Delaware County, New York",2.31,47.8,8.8,39.2,,5.7,38.7,11.5,50.3,9.5,66.8,,42.6,42.4,20.7,95.08752479,1.967975096,46.37628491,4.154951578
268,183.3,544.1,50134,,40.4,38.4,42.3,"Erie County, New York",2.33,44.3,10.5,26.9,,14.9,28.4,17.3,58.6,7,71.9,,51.7,36.6,19.7,78.6541433,13.30947586,41.89674177,4.815862717
269,181.6,520.5,52410,12,42.7,41.4,43.9,"Genesee County, New York",2.45,52.8,13.1,32.7,42.4,11.8,37.2,12,61,6.7,73.2,55.4,51.9,34.7,16.6,92.19785395,2.775068115,51.63756371,6.002939584
270,194.2,526.9,49137,11.4,51.9,51.7,-,"Hamilton County, New York",3.38,42.7,13.5,42.9,,12.9,32.3,13.8,45.8,9.7,73.1,45.8,42,40.6,13.6,95.25210084,0.504201681,54.2877907,4.529616725
271,150.9,-,44148,16.5,42.9,40.9,44,"Herkimer County, New York",2.4,50.1,13.3,29,,6.4,34.5,13.1,56,8.7,65.8,,45,40.7,22.5,96.0271106,0.997907362,48.48832759,4.741223308
272,177,500.8,49781,15.1,31.8,30.5,33.6,"Jefferson County, New York",2.54,53.5,34.3,44.2,,5.7,33.5,11.8,48.6,,69.7,52.3,34.5,36.4,19.8,86.39309945,5.525990567,52.37213921,7.816390603
273,172,462.2,49920,14.7,40.1,39.5,41,"Livingston County, New York",2.42,47.2,6.5,24.2,,8.2,33.7,13,55.6,5.4,76.5,59.3,53.9,32.9,15.8,93.28714063,2.44903628,49.85552712,5.026285421
274,174.2,505.4,51600,11.8,40.8,,41.8,"Madison County, New York",2.55,46.7,7.1,25.6,,5.5,33.7,14.8,55.4,5.1,74.1,59,54.4,33.5,17.2,94.83617988,2.048959642,51.08794887,3.238819733
275,169.5,498.9,51371,14.2,38.5,36.5,40.3,"Monroe County, New York",2.41,44.1,11.8,24,51.8,12.5,25,20.3,59.7,7.7,73.1,,52.1,34.5,18.5,75.95762228,15.34744501,42.50944076,4.726955479
276,173.9,501.5,48350,17.7,41.2,39.4,42.9,"Oneida County, New York",0.0243,44,13.2,27.4,,10.6,33.4,13.9,54.9,7.4,66.4,49.6,45.8,42.2,23.7,85.98849108,6.021202442,43.49984589,5.551134489
277,180.4,525.9,52892,16.1,38.8,37.1,40.4,"Onondaga County, New York",2.43,44.6,10.9,22,,13.4,26.2,19,58.5,7.2,73.1,55.7,51.8,34.4,17.7,80.38026581,11.063967,43.36469148,4.874120242
278,162.9,484.6,58473,11.5,43.1,42.2,44.2,"Ontario County, New York",2.38,50.8,9.2,26.2,,9.1,28.3,17.2,60,,75.4,58.1,53.5,33.3,15.5,93.36398271,2.50659389,49.43957335,5.349606951
279,173.6,503.5,69228,13.4,36.8,34.9,38.6,"Orange County, New York",2.9,49.9,13.2,31.5,,9.1,29.3,17.2,59.5,,71.9,,54.5,31.1,17.9,75.09536901,10.05636894,54.25001996,5.163242125
280,184.2,495.9,46577,15.5,42.2,41,43.3,"Orleans County, New York",2.43,48.4,23.3,38.5,,6.2,39.8,9.6,49.9,9,67.8,47.9,44.2,41.4,20.5,89.5081035,6.053928538,48.97602398,4.445372013
281,205,459.8,36891,,43,39,48.3,"Hyde County, North Carolina",2.44,39.8,31.7,41,,0,35.2,8.4,49.2,12.7,57.4,43.9,27.4,37.5234,20.2,63.41120675,35.25382048,44.7804878,7.282913165
282,181,477.1,54026,12.7,39.9,38.5,41.1,"Iredell County, North Carolina",2.69,53.7,18.3,35,,6.7,28.1,17.7,58.6,9.8,69.1,55.5,47.4,29.7,16.1,81.45469085,12.34899979,54.94720247,4.754928419
283,184.9,459.8,50055,15.3,37.4,36.4,38.6,"Johnston County, North Carolina",2.85,53.5,20.9,34.1,,6.7,30.4,14.8,59.4,8.9,64.1,52.7,46,30.6,18.5,78.44850781,15.02612166,55.35270379,5.25474016
284,205.2,464.6,38928,22.2,45.2,42.5,48,"Jones County, North Carolina",2.43,51.6,15.9,40.8,,4.3,31.2,8.1,47.9,11.6,54.9,33.3,26.4,46.1,22.6,65.09935078,31.71355499,49.05705996,5.365126677
285,165.7,460.5,49676,16,42,41.1,42.7,"Lincoln County, North Carolina",2.62,57.7,15.7,36,,4.3,30.4,14.3,,10.2,64.8,51.3,46.4,33.5,18.6,89.26713413,5.409786624,58.69781973,4.703203954
286,181.8,483.7,37881,17.6,43.1,40.9,45,"McDowell County, North Carolina",2.52,50,16.7,28.2,,4.9,36.9,9.4,47.5,11.1,57.9,,36.7,42234,23,90.53846667,3.863348235,50.04906771,5.517241379
287,177,491.5,35930,19.7,46,43.5,46.9,"Martin County, North Carolina",0.0254,47.2,13.4,34.4,,0.7,37.6,9.9,46.9,14.7,55.2,38.5,30.5,42.9,22.7,53.33558093,43.56272915,46.87668573,3.58004827
288,158.6,451,59049,15.2,34.5,33.4,35.6,"Mecklenburg County, North Carolina",2.57,45.3,14.7,25,44.8,15.5,19.1,28.4,65.3,8.9,67.9,58.5,50.5,24.6,15.4,56.67573474,30.94009016,43.17563049,5.350191695
289,180.9,450.3,36795,19.2,46.7,44.8,47.7,"Mitchell County, North Carolina",2.36,55.7,19.3,19.5,,11.7,33.5,11,46.7,,61.8,43.7,35.5,39.7,19.1,96.59491194,0.874103066,54.12988651,3.813691779
290,160.3,483.6,51650,15.5,45.1,42.8,46.5,"Moore County, North Carolina",2.44,55.8,14.6,40.2,,8,25.8,19.7,48.9,8,66.3,46.4,32.6,39.1,19.5,82.80413765,12.34971605,53.44479444,3.694753236
291,189,452.5,43348,18.2,41,39.2,42.5,"Nash County, North Carolina",2.52,45.3,22,29.9,,7.6,33.9,13.6,53.8,11.9,59.8,45.4,39.4,37.6,21.3,54.39918921,38.1991512,44.16932255,6.201122458
292,164,442.6,49905,18,37.8,36.4,39.3,"New Hanover County, North Carolina",2.33,45.8,8.9,23.8,,11.5,22.1,24.7,59,8.9,70,54.8,43.5,29.1,14.2,81.05175723,14.36475496,43.02116444,4.936553568
293,189.9,452.7,32063,25.8,47.1,44.2,49.7,"Northampton County, North Carolina",2.35,38.6,22.1,33.9,41.7,,35.9,7.2,41.3,15.9,50.3,34.1,28.6,48.4234,27.2,39.95526153,56.8130979,37.33487833,2.454590083
294,179.9,477.5,47201,14.3,,24.6,29,"Onslow County, North Carolina",2.75,54.5,7.6,45.5,,3.6,28.9,13.5,43.6,11.6,73.1,53.3,19,26.8,12.7,74.33184764,15.50722981,55.8526976,9.215177413
295,157.3,436.7,60304,14.1,33.3,32.7,33.9,"Orange County, North Carolina",2.47,45.2,5.8,23.9,55.3,15,15.6,25.4,61.6,6.4,79.3,67.6,54.4,20.2,10.1,74.98196821,11.67522576,47.73130301,4.202796852
296,151.3,499.4,43097,17.9,49.8,47.8,51.3,"Pamlico County, North Carolina",2.36,55.1,21.3,35.5,,0.6,32.2,12.7,45.9,9.7,61.4,37.6,,45.6,20.1,75.19642582,19.03404714,55.41340462,5.096660808
297,169.8,463.5,45453,15.4,42.1,41.6,42.9,"Pender County, North Carolina",2.67,51.7,22,32.2,,6.9,31.2,14,52.4,9.8,63.1,,37.9,35.8,17.9,76.27705471,17.11924011,52.10630899,
298,198.1,477.8,45841,18.7,508.8,41.5,-,"Person County, North Carolina",2.52,47.6,22.2,28,44.7,5.1,35.5,11.3,53,11.9,60,45.4,37.9,39.3,22.3,68.76623707,27.37761703,45.40726776,6.140350877
299,193,409.6,30414,33.1,35.2,33.8,36.6,"Robeson County, North Carolina",2.87,39.2,23.4,34.1,39.4,3.1,33.5,9,45.8,,43.4,,27.8,45.1,32,30.07614684,24.10673903,40.63093964,5.971635486
300,174.8,443.9,35629,21.5,43.3,41.9,45,"Rutherford County, North Carolina",2.48,50.4,26.7,32.1,,5.9,31.8,10.4,46,12.2,53.4,38.1,31.5,45.6,26.6,85.35108054,10.18320497,50.04540982,5.963398511
301,183.6,454.3,33876,29,39.2,38,40.3,"Sampson County, North Carolina",2.7,45.3,22.7,36.4,,2.7,33.2,9,53.8,10.4,51.2,37,31.2,43,25.6,61.23401124,25.71195967,46.21993127,5.0513461
302,189.6,487.8,32782,28.9,39.1,36.8,40.9,"Scotland County, North Carolina",2.59,38.9,20.9,31,45.4,2.7,34,10.1,39.3,15.5,47.7,33.6,28,48.3,32.2,46.05365691,38.45318936,40.22006771,6.79431748
303,180.6,495.6,41921,16.5,41.8,40.6,42.9,"Stanly County, North Carolina",0.0247,51.5,21,33.4,,4.5,34.3,11.4,,12.2,64.3,,42.5,36.2,19.7,84.89254943,10.39844188,51.88659315,4.858604091
304,184.5,460.9,45065,13.8,44.7,44.2,45.4,"Stokes County, North Carolina",2.43,56,19,32.7,,5.4,38.1,10.2,52.2,9.3,65.2,49.7,43.3,35.3,18.6,93.13988127,4.119071602,54.66048081,4.962317706
305,198.1,481.1,37915,18.9,42.7,40.4,44.2,"Surry County, North Carolina",2.47,54.4,17.2,35.8,,5.4,31.1,10,51.2,6.9,58,,34.1,39.8,21.5,92.32198989,3.703703704,52.0415485,4.712239256
306,215.3,516.6,34788,19.3,40.7,40.1,41.3,"Swain County, North Carolina",2.58,49.5,13.9,34.8,,4.4,31.2,10.7,49.4,7.7,51.9,37.3,30.7,39.4,22.6,64.63319918,1.525100614,49.22848113,5.56091289
307,137,1456,44490,16.2,50.1,48.6,52.8,"Transylvania County, North Carolina",2.31,57.1,16.2,31.9,,2.9,28.4,17.4,49.1,6.9,62.8,37.4,28,41.9,17.1,90.33041788,3.914601555,56.36203995,4.726613966
308,222.3,431,32773,28.3,44.4,41.8,49.3,"Tyrrell County, North Carolina",2.45,42.5,28.1,40.7,31.2,0,37.1,3.9,38,14.1,50.1,31.8,19.8,46.5,23,59.89884393,30.39499037,47.13990351,7.088989442
309,198.5,490.4,33609,27,40,37.6,41.4,"Vance County, North Carolina",2.65,37.7,27.2,40.1,31.9,0.9,37.6,8.2,49.6,12.2,50.1,31.6,25.8,47.3,28.7,43.62800866,49.60405095,36.87986015,
310,167.9,453.6,32867,26.8,45.1,44.6,45.3,"Washington County, North Carolina",2.4,45.2,29.6,22.7,,5.3,34.3,6.1,43.2,15.5,53.1,37.4,,46.9,26.7,46.71613514,48.91064099,42.52300614,3.122648608
311,191.3,458.6,36890,23.3,36.7,34.4,39.1,"Wayne County, North Carolina",2.56,45.5,18,31.3,,4.8,29.7,13,52.1,12.4,58.7,41.5,30,40.2,23.3,57.2691086,31.32805275,44.50241952,5.691592675
312,199.1,452.4,39268,23.9,39.9,38.2,41.4,"Wilson County, North Carolina",2.5,46.8,23.3,33.8,36.1,6.7,33,12.6,54,10.1,56.4,42.1,36.1,39.4,23.2,50.86846202,38.38884054,,4.940815895
313,179.7,449.1,40801,17.2,42.9,41.5,44.1,"Yadkin County, North Carolina",2.45,53.1,13.9,44.3,38.2,3.5,34.3,8.4,51.4,,60.3,43,37.5,39.4,21.8,91.39343183,3.381528008,49.89264103,6.549178376
314,178.6,512.6,35974,20.6,46.2,45,47.8,"Yancey County, North Carolina",2.35,59.5,9.3,42.4,,10,33.2,12.9,47.8,11,57.2,,32.6,42.3,22.7,96.52919791,1.175869121,56.701726,3.944716384
315,140,405.2,45710,20.6,47.6,46.1,49.8,"Adams County, North Dakota",2.14,66.7,10.8,38.4,,8.6,35.1,18.1,64.7,1.2,78.8,56.7,41.6,31.9,11.3,93.25074754,1.324220419,60.82474227,4.047619048
316,173.1,479.1,52376,10.3,42.8,41.1,43.9,"Barnes County, North Dakota",2.07,58,12.1,15.5,,9.2,31.3,19.4,64.1,2.4,81.6,62.4,46.2,27.5,8.9,94.51203028,0.937190232,51.52294304,8.043956044
317,174.1,430.4,56965,9.7,46,42.5,48.4,"Bottineau County, North Dakota",2.09,60.2,15.4,32.3,,4.3,31.3,16.4,61.7,2.6,79.7,,45,26.9,8.9,93.95538137,0.889357853,53.50906096,4.568106312
318,209.3,472.9,60946,7.4,43.6,43.4,44,"Bowman County, North Dakota",2.28,63.2,11.4,44.3,,6.7,30,16.7,67.1,1.8,86.2,65,48.6,24.5,5.7,95.56038497,0.124185036,55.84604212,9.935897436
319,166.8,448.3,62875,8.3,36.5,34.3,38.8,"Burke County, North Dakota",2.25,60.5,23,30.5,,5.9,30.8,14.1,63.7,2.3,79.6,,47.3,22.4,6.2,97.87137681,0.045289855,50.30612245,
320,141.6,438.9,66734,8.2,36.8,35.4,38.2,"Burleigh County, North Dakota",2.3,53.9,7.9,33.2,,10.2,24.5,23.5,70.4,2.3,83.5,67.1,58.4,22.9,8.3,92.31152874,0.913593961,50.32513963,6.137971127
321,170.7,406.8,54057,9,50.8,50,51.3,"Cavalier County, North Dakota",2.17,66,10.1,20.2,,29.8,27.6,13.9,61.3,0.8,86.6,,42.3,29.8,8.1,96.19537275,0.077120823,60.08018328,7.1197411
322,126,320.2,51817,11.7,43.2,40.9,44.7,"Dickey County, North Dakota",2.3,60.8,9.6,21.1,,14.1,28.7,20.5,66.4,1.5,82.7,62.9,49.7,25.7,8,96.36188643,1.482194418,58.630394,12.01143947
323,93.8,330.6,67344,8.3,51.7,51,52.3,"Divide County, North Dakota",2.07,64.5,11.2,34.6,,13.1,34.3,18.6,63.5,0.7,83.4,60.5,,27.2,6,95.67847882,0.475367329,58.37187789,14.4
324,227.6,532.1,47596,10.7,48.3,48.5,48,"Eddy County, North Dakota",2.15,51,7.4,50.9,41.7,0,28.7,18.1,63.5,1,75.6,58.2,44.2,32.7,14.2,93.29113924,0,43.96226415,8.208955224
325,166.9,352.4,44282,13.2,51.2,52.2,49.7,"Emmons County, North Dakota",2.13,60.5,15.9,30.1,,20.8,36.9,13.5,55.6,3.6,80,56,35.3,35.1,10.4,96.91019347,0,53.90869293,6.270627063
326,174.5,516.2,54593,8,46.9,45.3,47.3,"Foster County, North Dakota",2.22,60.2,14.6,43.9,,10.5,31.4,15.6,64.8,1.3,84,61.9,49.9,28.5,7.4,97.59358289,0.118835413,55.79514825,6.307692308
327,147.3,385.4,39679,16.1,53.6,53.7,53.6,"Grant County, North Dakota",2.05,62.6,26.1,41.3,20.7,12,38.2,13.7,59.8,3.4,77.1,52.9,29.7,35.5,11.6,97.45977985,0.33869602,55.1056338,
328,160.3,-,120,11.1,48.4,49.6,46.4,"Hettinger County, North Dakota",2.25,65.9,10.8,25,57.4,6.8,37.1,12.2,57.4,1.1,81.2,56,35.7,34.7,9.9,96.03204884,0.724914155,62.51145738,15.15711645
329,104.8,336.1,46923,14.1,47,46.3,47.6,"Kidder County, North Dakota",2.5,72.3,21.9,49.1,,3,32.6,16.1,67,0.9,76.1,56.3,,33.6,14.2,96.83127572,0,,6.976744186
330,148.3,429.1,48887,12.3,43.3,41.5,44.8,"McHenry County, North Dakota",2.2,59.4,-,37.8,,7,37,14.9,61.2,3.1,76.9,56.1,43.7,31.7,13,97.30101427,0.171909919,52.10889571,12.28389445
331,125.9,424.9,40258,13,53.4,51.4,56.4,"McIntosh County, North Dakota",2.06,62.2,40.3,11.1,,12.5,31.5,14.4,58.2,1.2,83.9,51.4,35.4,41.6,10,96.73794853,0.326205147,55.62451513,4.662004662
332,153.1,515.6,56616,10.1,47.1,47,47.5,"McLean County, North Dakota",2.18,64.2,20.2,30.5,38.5,10.8,33.8,15,58.6,1.6,78,55.9,43.4,31.7,11.1,91.08030896,0.084647127,58.05384979,6.094022055
333,151.9,482,74047,7.3,45.6,43.8,46.6,"Mercer County, North Dakota",2.31,62.8,21.6,-,,4.2,29.7,15.6,63.2,3.2,82.6,64.5,57.5,22.7,6.3,95.85312174,0.046333835,59.18867411,2.630005977
334,196.8,485.1,66807,9.3,,34.5,,"Mountrail County, North Dakota",2.83,46.1,24.4,37.6,,2.7,29.7,17.6,64.9,,72.8,,49.7,19.7,7.9,66.1082892,0.118880363,49.78165939,5.573419078
335,205.3,436,45040,10.8,52.8,51.8,54,"Nelson County, North Dakota",1.95,58.5,4.6,39.4,,10.9,30.8,15.7,59.9,0.7,75.9,53.8,39.1,35.5,12.9,96.29265092,1.377952756,49.21156373,10.42553191
336,177,381.4,56298,8.9,47.2,45.7,48.4,"Pembina County, North Dakota",2.14,60.2,13.4,41.4,,14.9,38.6,15.2,63.1,3.5,79.7,,46.9,30.4,10.7,94.85151263,0.235914516,52.69406393,8.209538702
337,106.5,357.4,39572,11.6,46.9,44.9,50.1,"Pierce County, North Dakota",2.08,58.1,16.3,12.2,50.4,21.1,33.2,13.5,60.3,0.9,79.1,,,28.7,9,96.63253697,0.523321957,50.99108028,9.305373526
338,164.9,436.3,51097,12.3,42.5,,43.8,"Ramsey County, North Dakota",2.2,48.5,11.4,21.5,,9.6,30.2,18.1,63.5,1.2,75.8,58,48.9,29.7,11.2,87.25574961,0.095106346,43.30143541,2.600671141
339,181.4,447,56270,8.4,44.5,42.1,46.6,"Ransom County, North Dakota",2.25,56.3,20.1,45.7,25.6,8.6,36.4,14.6,64.5,2,83.6,63.9,54.9,29.4,8.8,97.21254355,0.586832936,,
340,151.7,403.5,60957,,39.9,40.8,39.5,"Renville County, North Dakota",2.46,60.2,28.9,37.3,32.8,2.345,30.1,13.4,65.7,1.6,87.9,,50.2,21.9,5.9,98.32162373,0.156128025,58.33333333,4.896421846
341,216.9,474.1,35630,31.6,30.3,28.9,31,"Rolette County, North Dakota",3,38.8,22.5,25,,2.3,21.8,16.1,48.9,4.8,35.8,,26.9,36.9,29.2,20.06483653,0.538005242,37.72517805,6.726726727
342,188.2,579.7,58467,7.3,45.3,44.6,46,"Sargent County, North Dakota",2.22,60.9,16.2,38.7,,7.3,32.8,16.7,65.9,1.2,88.8,,55.7,25.7,5,96.07640681,1.084150749,54.80324074,6.284916201
343,259.1,481.1,33950,33.6,27,25.3,28.4,"Sioux County, North Dakota",3.93,27.2,27.7,28.2,42.4,1.7,31.8,13.5,,20.3,36.8,29.4,24.7,39.7,31.8,14.08675799,0.0456621,31.69398907,8.229665072
344,117.6,341.9,59408,7.1,50.2,51.5,48.8,"Steele County, North Dakota",2.09,62.2,12.3,40,,3.8,30.9,16.3,62.6,4,84.8,60.8,38.8,29.8,7.9,99.646286,0,54.11392405,7.098765432
345,169.4,527.4,51961,10.9,48.5,49.3,48,"Towner County, North Dakota",2.25,65.9,19.2,41,,15.4,33.2,14.2,59.7,2.9,76.1,54.7,33.5,35.1,14.5,89.97384481,0,57.92622134,16.4556962
346,178.3,475,54366,13.1,37.7,36.7,38.4,"Autauga County, Alabama",2.68,54.8,19.1,38.8,,5.4,33.5,13.5,,7.6,73.1,56.8,,30,14.3,77.39990221,18.67948788,56.06981761,5.87213091
347,174.3,454.6,49626,13,42.2,40.9,43.3,"Baldwin County, Alabama",2.6,53.8,17.7,33.4,,8.6,28.8,19.3,55,,67.6,,42.6,33.7,17.5,86.43149635,9.601734308,53.93501026,5.381477705
348,212.3,430.8,36176,22.7,41.4,40.2,42.1,"Ashley County, Arkansas",2.52,53,16,35.9,,3.6,41.4,9,46.7,11.8,48.7,,29.3,48.5,31,70.83235197,25.98803523,50.99075297,5.180598555
349,194.7,490.9,-,14.9,51.5,50.2,52.4,"Baxter County, Arkansas",2.23,57.5,17.6,42.1,,1.3,35.6,13.1,44,7.6,60.3,36.4,30.5,51.1,23.6,96.75194932,,52.90134332,4.674318905
350,166.2,401,57408,11.9,35,34.3,35.7,"Benton County, Arkansas",2.75,59.9,14.7,39.8,,9.7,30.8,19.9,60.9,4.2,68.5,57.4,52.6,28.3,16.5,87.92894987,1.490776581,60.57429672,5.82126689
351,214,456.2,32734,27.4,40.6,38.2,43.6,"Bradley County, Arkansas",2.39,51.6,25.1,32.8,32.8,9.2,42.1,9.2,47.5,9.4,46.5,,25.2,49.3,32.2,60.59253971,28.95770123,46.67246629,5.141916907
352,202.4,364.5,39493,18,44.9,40.7,47,"Calhoun County, Arkansas",2.4,55.7,9.4,49.3,,3.9,49.3,7.3,51.4,7.2,57.1,41,36.4,418,22.3,76.39656816,22.17349857,53.92941176,3.101503759
353,167.6,380.4,36964,17.9,44.2,43.7,44.9,"Carroll County, Arkansas",2.49,56.1,23,45.9,,4.2,35,10.5,51.9,6.2,54.4,37.9,32,43.8,24.3,94.36222182,0.564501538,54.6597431,6.345497034
354,229,403.9,29541,32.1,43.4,40.6,46,"Chicot County, Arkansas",2.36,44.9,16.7,38.3,,2.3,44.6,8,,11.5,40.4,,22.7,56.4,38,42.82568484,53.91526469,41.81254155,9.349593496
355,170.4,401.9,38504,21.5,34,32.6,35.6,"Clark County, Arkansas",2.28,43.1,4.9,13,,5.8,33.6,14.1,51.8,8.4,65.3,48.7,43.2,35.9,19.1,73.33743572,23.91543229,44.1308605,23434324.23
356,137.6,398.5,35049,25,65.2,43.8,47.1,"Choctaw County, Alabama",2.37,48.3,17.4,43.1,,2.8,36.8,7.4,40.4,13.6,56,39.9,34.3,44.8,24.2,,43.30720418,45.20179372,4.317548747
357,228.7,433.2,33826,19.9,43.8,42.8,45.5,"Clay County, Arkansas",2.31,52.3,18.4,48.9,,1.8,43.8,7.5,50.2,9.5,53.8,36.1,29.6,46.8,25.5,96.37012987,0.363636364,48.75207987,8.81166615
358,188.5,460.8,40555,15.2,47.1,46.1,48.8,"Cleburne County, Arkansas",2.5,57,15.9,47.6,,3.8,39.2,10.6,45.5,10.2,58.6,38.7,28.9,44.1,21.6,97.20353156,0.51728832,55.42975288,4.101603165
359,163.4,462.3,43201,16.6,42.4,41.6,42.9,"Cleveland County, Arkansas",2.53,58.2,21.1,27.2,,2.5,44.8,10.8,47.8,9.7,59.5,44.5,39.3,42.3,24.7,86.70975323,10.98707403,58.39832034,3.533190578
360,210,414.9,37495,24.1,36,33.7,37.6,"Columbia County, Arkansas",2.37,47.2,10.9,19.9,,7.3,38.2,13.3,53.3,10.1,60.5,46.5,39.9,38.8,22.6,60.04850578,35.59419575,47.35854955,6.776379477
361,191,500,42851,22.3,33.5,32.2,35.1,"Craighead County, Arkansas",2.52,48.5,7.8,26.9,,10.7,32.8,16.1,57.6,7.5,58.2,45.5,38,37.8,23.7,81.33203167,13.66742597,46.27621114,5.052358022
362,242.9,389.9,-,27.3,34.6,33.4,35.4,"Crittenden County, Arkansas",2.67,40.3,17,39.7,,4,36.3,11.7,54.6,9.9,52,42.6,37.6,42.1,29.6,45.5681704,50.8509997,38.6145629,7.947176973
363,230.9,433.4,38597,22.3,40.1,38.5,41.8,"Cross County, Arkansas",2.49,53,16.4,55.1,21.6,6.8,45.8,9.1,52,8.6,54.2,42.3,37.3,42.9,27.5,74.87261693,23.02627812,49.56634866,3.788634098
364,190.6,455.8,36801,24,37.5,34.1,39.3,"Drew County, Arkansas",2.43,50.7,4.8,25,62.4,7.7,35.5,13.6,48.7,14.3,54,42.2,33.6,40.6,26,68.09498399,28.7886873,50.42384468,4.350706714
365,174,449,51436,14.7,31.6,31.1,32.1,"Faulkner County, Arkansas",2.65,49,8.7,23.8,,10.9,35.6,18,61,6.6,69,,44.6,29,16.4,84.09626036,11.30187778,51.07628923,4.772020566
366,175,394.1,33347,22.6,48,46.4,48.7,"Fulton County, Arkansas",2.27,62.2,19.8,42.9,36.2,1,43,7.3,44.9,7.6,55.7,37.1,29.5,48.6,25.6,96.96498691,0.122709424,58.26415094,8.096280088
367,190.5,502.9,46067,13.3,39.6,39.2,40.4,"Grant County, Arkansas",2.61,57.9,12.1,42.9,,3.6,43.1,11.4,52.7,9.4,67.7,52.1,46.7,35.9,19.5,93.82408331,3.799711975,59.25061962,5.539429124
368,194.5,414.1,42572,23.6,38.3,,39.5,"Greene County, Arkansas",2.56,53.1,20.5,40.2,,3.5,43.1,10.2,52,9,58.7,,37.7,41.1,23.6,96.22193536,,53.29097231,5.73167141
369,200.3,422.1,37831,18.7,40.9,38.8,42.5,"Hot Spring County, Arkansas",2.59,52.7,13.9,38.1,,2.9,42.1,8.5,49.5,7.6,58.1,40,35.7,43.2,23.5,85.80561892,11.65506063,52.96638102,234.234234
370,190.8,477.4,35940,19.5,43.8,43.2,45.1,"Clay County, Alabama",2.45,52.3,18.9,40,,3.4,36.3,5.8,47.4,9.4,60.3,40.6,34.2,42.5,21.6,81.73893773,14.50099727,50.80273113,5.245114844
371,220.6,434.6,37336,18.8,38.6,38.2,39.3,"Howard County, Arkansas",2.65,48,22.5,21.7,,5.4,33.5,9.5,54.2,8.5,51.6,,32.9,42.4,26.7,67.66506824,21.80007377,47.25688255,5.693717277
372,170.1,438.6,41085,18.6,38.7,37.5,40.3,"Independence County, Arkansas",2.52,53.2,11.8,30.9,,5.3,38.9,10.4,52.5,6.9,57.6,44.1,38,40.3,23.9,,2.054016021,51.58730159,4.404237591
373,184.1,420,32744,22,48.1,45.9,50.4,"Izard County, Arkansas",2.28,56.7,21.5,36.5,,0.2,40,8.1,40.8,10,53.1,,28.9,49.3,26.6,96.96587537,1.201780415,55.21715624,4.812157028
374,204.1,502.1,35927,26.8,38.5,36.3,40.4,"Jefferson County, Arkansas",2.41,40,13,33.2,,3.6,38.7,11.5,48.3,11.2,56.5,41.5,35.4,44.2,27.1,41.5007886,55.58410834,38.21259647,4.806902219
375,195.2,364.1,32225,27.5,45,43.3,46.4,"Lafayette County, Arkansas",2.52,41.5,15.4,44.4,,6.5,43.3,9.4,42.7,12.5,49.6,,25.5,48,26.9,60.88033012,38.19807428,41.97879859,3.516921035
